1,1,0
1,2,1
1,3,0
1,4,0
1,5,1
1,6,0
1,7,1
1,8,0
1,9,1
1,10,0
1,11,1
1,12,0
1,13,1
2,1,0
2,2,1
2,3,0
2,4,0
2,5,1
2,6,0
2,7,1
2,8,0
2,9,1
2,10,0
2,11,1
2,12,1
2,13,0
3,1,0
3,2,1
3,3,0
3,4,0
3,5,1
3,6,0
3,7,1
3,8,0
3,9,1
3,10,1
3,11,0
3,12,1
3,13,0
4,1,0
4,2,1
4,3,0
4,4,0
4,5,1
4,6,0
4,7,1
4,8,1
4,9,0
4,10,1
4,11,0
4,12,1
4,13,0
5,1,0
5,2,1
5,3,0
5,4,0
5,5,1
5,6,1
5,7,0
5,8,1
5,9,0
5,10,1
5,11,0
5,12,1
5,13,0
6,1,0
6,2,1
6,3,0
6,4,1
6,5,0
6,6,0
6,7,1
6,8,0
6,9,1
6,10,0
6,11,1
6,12,0
6,13,1
7,1,0
7,2,1
7,3,0
7,4,1
7,5,0
7,6,0
7,7,1
7,8,0
7,9,1
7,10,0
7,11,1
7,12,1
7,13,0
8,1,0
8,2,1
8,3,0
8,4,1
8,5,0
8,6,0
8,7,1
8,8,0
8,9,1
8,10,1
8,11,0
8,12,1
8,13,0
9,1,0
9,2,1
9,3,0
9,4,1
9,5,0
9,6,0
9,7,1
9,8,1
9,9,0
9,10,1
9,11,0
9,12,1
9,13,0
10,1,0
10,2,1
10,3,0
10,4,1
10,5,0
10,6,1
10,7,0
10,8,0
10,9,1
10,10,0
10,11,1
10,12,0
10,13,1
11,1,0
11,2,1
11,3,0
11,4,1
11,5,0
11,6,1
11,7,0
11,8,0
11,9,1
11,10,0
11,11,1
11,12,1
11,13,0
12,1,0
12,2,1
12,3,0
12,4,1
12,5,0
12,6,1
12,7,0
12,8,0
12,9,1
12,10,1
12,11,0
12,12,1
12,13,0
13,1,0
13,2,1
13,3,0
13,4,1
13,5,0
13,6,1
13,7,0
13,8,1
13,9,0
13,10,0
13,11,1
13,12,0
13,13,1
14,1,0
14,2,1
14,3,0
14,4,1
14,5,0
14,6,1
14,7,0
14,8,1
14,9,0
14,10,0
14,11,1
14,12,1
14,13,0
15,1,0
15,2,1
15,3,0
15,4,1
15,5,0
15,6,1
15,7,0
15,8,1
15,9,0
15,10,1
15,11,0
15,12,0
15,13,1
16,1,0
16,2,1
16,3,0
16,4,1
16,5,0
16,6,1
16,7,0
16,8,1
16,9,0
16,10,1
16,11,0
16,12,1
16,13,0
17,1,0
17,2,1
17,3,0
17,4,1
17,5,0
17,6,1
17,7,0
17,8,1
17,9,0
17,10,1
17,11,1
17,12,0
17,13,1
18,1,0
18,2,1
18,3,0
18,4,1
18,5,0
18,6,1
18,7,0
18,8,1
18,9,1
18,10,0
18,11,0
18,12,1
18,13,0
19,1,0
19,2,1
19,3,0
19,4,1
19,5,0
19,6,1
19,7,0
19,8,1
19,9,1
19,10,0
19,11,1
19,12,0
19,13,1
20,1,0
20,2,1
20,3,0
20,4,1
20,5,0
20,6,1
20,7,1
20,8,0
20,9,0
20,10,1
20,11,0
20,12,1
20,13,0
21,1,0
21,2,1
21,3,0
21,4,1
21,5,0
21,6,1
21,7,1
21,8,0
21,9,1
21,10,0
21,11,0
21,12,1
21,13,0
22,1,0
22,2,1
22,3,0
22,4,1
22,5,0
22,6,1
22,7,1
22,8,0
22,9,1
22,10,0
22,11,1
22,12,0
22,13,1
23,1,0
23,2,1
23,3,0
23,4,1
23,5,1
23,6,0
23,7,0
23,8,1
23,9,0
23,10,1
23,11,0
23,12,1
23,13,0
24,1,0
24,2,1
24,3,0
24,4,1
24,5,1
24,6,0
24,7,1
24,8,0
24,9,0
24,10,1
24,11,0
24,12,1
24,13,0
25,1,0
25,2,1
25,3,0
25,4,1
25,5,1
25,6,0
25,7,1
25,8,0
25,9,1
25,10,0
25,11,0
25,12,1
25,13,0
26,1,0
26,2,1
26,3,0
26,4,1
26,5,1
26,6,0
26,7,1
26,8,0
26,9,1
26,10,0
26,11,1
26,12,0
26,13,1
27,1,0
27,2,1
27,3,1
27,4,0
27,5,0
27,6,1
27,7,0
27,8,1
27,9,0
27,10,1
27,11,0
27,12,1
27,13,0
28,1,0
28,2,1
28,3,1
28,4,0
28,5,1
28,6,0
28,7,0
28,8,1
28,9,0
28,10,1
28,11,0
28,12,1
28,13,0
29,1,0
29,2,1
29,3,1
