1,1
2,2
3,2
4,2
5,2
6,2
7,2
8,1
9,2
10,2
11,2
12,2
13,2
14,1
15,2
16,2
17,2
18,2
19,1
20,2
21,2
22,2
23,1
24,2
25,2
26,1
27,2
28,1
29,0
30,1
31,2
32,1
33,2
34,2
35,1
36,2
37,2
38,2
39,1
40,2
41,2
42,2
43,2
44,1
45,2
46,2
47,2
48,2
49,2
50,1
51,2
52,2
53,2
54,2
55,2
56,2
57,1
58,1
59,2
60,2
61,2
62,2
63,2
64,2
65,1
66,2
67,2
68,2
69,2
70,2
71,1
72,2
73,2
74,2
75,2
76,1
77,2
78,2
79,2
80,1
81,2
82,2
83,1
84,2
85,1
86,0
87,1
88,2
89,1
90,2
91,2
92,1
93,2
94,2
95,2
96,1
97,2
98,2
99,2
100,2
101,1
102,2
103,2
104,2
105,2
106,2
107,1
108,2
109,2
110,2
111,2
112,2
113,2
114,1
