1,1
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,1
10,2
11,2
12,2
13,2
14,2
15,2
16,1
17,2
18,2
19,2
20,2
21,2
22,1
23,2
24,2
25,2
26,2
27,1
28,2
29,2
30,2
31,1
32,2
33,2
34,1
35,2
36,1
37,0
38,1
39,2
40,1
41,2
42,2
43,1
44,2
45,2
46,2
47,1
48,2
49,2
50,2
51,2
52,1
53,2
54,2
55,2
56,2
57,2
58,1
59,2
60,2
61,2
62,2
63,2
64,2
65,1
66,2
67,2
68,2
69,2
70,2
71,2
72,2
73,1
74,1
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,1
83,2
84,2
85,2
86,2
87,2
88,2
89,1
90,2
91,2
92,2
93,2
94,2
95,1
96,2
97,2
98,2
99,2
100,1
101,2
102,2
103,2
104,1
105,2
106,2
107,1
108,2
109,1
110,0
111,1
112,2
113,1
114,2
115,2
116,1
117,2
118,2
119,2
120,1
121,2
122,2
123,2
124,2
125,1
126,2
127,2
128,2
129,2
130,2
131,1
132,2
133,2
134,2
135,2
136,2
137,2
138,1
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,1
